,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.2800000011920929,0.0369872972369194,0.8835533857345581,0.8235534429550171,0.903012752532959,0.7799999713897705,0.5600751638412476,0.61270672082901,0.6540601253509521,0.5487969517707825,0.7855555415153503,0.7299999594688416,0.7299999594688416,0.8855555057525635,0.029999999329447746,0.3829793632030487,0.6415831446647644,0.029999999329447746,0.029999999329447746,0.6511961817741394,0.27535152435302734,0.0,0.3678920269012451,0.1482749730348587,0.029999999329447746,0.029999999329447746,1.0,0.00030303187668323517,0.00030303187668323517,0.00030303187668323517,0.00030303187668323517
3,0.2800000011920929,0.0969872996211052,0.8235534429550171,0.8835533857345581,0.8235534429550171,0.8835533857345581,0.545037567615509,0.6540601253509521,0.6766164898872375,0.48879697918891907,0.7255555987358093,0.647777795791626,0.647777795791626,0.8588889241218567,0.029999999329447746,0.574739396572113,0.5432742834091187,0.029999999329447746,0.0,0.5452150702476501,0.19054564833641052,0.029999999329447746,0.4110639691352844,0.1926620900630951,0.029999999329447746,0.029999999329447746,0.9597938656806946,0.06030303239822388,0.00030303187668323517,0.00030303187668323517,0.00030303187668323517
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.2800000011920929,0.0969872996211052,0.8835533857345581,0.8835533857345581,0.5994095802307129,1.0,0.5074436068534851,0.6540601253509521,0.552706778049469,0.4474436044692993,0.7588889002799988,0.647777795791626,0.7033333778381348,0.8922222256660461,0.029999999329447746,0.8579056262969971,0.4154473841190338,0.029999999329447746,0.0,0.880996823310852,0.44552990794181824,0.029999999329447746,0.44485247135162354,0.10885056853294373,0.029999999329447746,0.029999999329447746,0.9591585993766785,0.06030303239822388,0.00030303187668323517,0.9700000286102295,0.06030303239822388
6,0.2199999988079071,0.0969872996211052,0.8235534429550171,0.8235534429550171,0.4699999988079071,1.0,0.5074436068534851,0.6766164898872375,0.593909740447998,0.5299999713897705,0.7588889002799988,0.6144444942474365,0.7255555987358093,0.8588889241218567,0.054582104086875916,0.977885901927948,0.2571386396884918,0.04474925994873047,0.1349317878484726,0.8851941227912903,0.3657817542552948,0.04469045251607895,0.4030686318874359,0.09610752761363983,0.03014739789068699,0.029999999329447746,0.9589172005653381,0.00030303187668323517,0.00030303187668323517,1.0,0.00030303187668323517
7,0.2800000011920929,0.0369872972369194,0.8235534429550171,0.8835533857345581,0.4005904793739319,0.9529629349708557,0.48879697918891907,0.6166165471076965,0.533909797668457,0.5113534331321716,0.7366666793823242,0.707777738571167,0.7299999594688416,0.8855555057525635,0.16764011979103088,0.9798524975776672,0.056548669934272766,0.08406095951795578,0.49589717388153076,0.7538405060768127,0.1800524741411209,0.014071354642510414,0.47445204854011536,0.16634713113307953,0.0,0.007460666820406914,0.9586179852485657,0.06030303239822388,0.06030303239822388,1.0,0.06030303239822388
8,0.2199999988079071,0.0369872972369194,0.8235534429550171,0.8835533857345581,0.2800000011920929,0.9630126953125,0.552706778049469,0.5940601825714111,0.5713533759117126,0.5113534331321716,0.6700000166893005,0.6700000166893005,0.7033333778381348,0.8255555629730225,0.3829793632030487,0.7015830874443054,0.029999999329447746,0.21778760850429535,0.6511961817741394,0.27535152435302734,0.0,0.04764952510595322,0.5405188202857971,0.3349936306476593,0.0,0.044921331107616425,1.0,0.06030303239822388,0.06030303239822388,0.9700000286102295,0.06030303239822388
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
